Date : 2024-02-12 11:18:58
Directory : e:\dart_flutter\my_apps\auto_mafia\auto_mafia
Total : 132 files,  15515 codes, 1349 comments, 2080 blanks, all 18944 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| ios\Runner                                                                                                                  |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                                          |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                                             |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                                  |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                               |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                             |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                       |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                         |         65 |     13,682 |        918 |      1,709 |     16,309 |
| lib (Files)                                                                                                                 |          2 |        141 |         14 |         17 |        172 |
| lib\constants                                                                                                               |          6 |        348 |         41 |         56 |        445 |
| lib\db                                                                                                                      |          6 |      9,020 |        174 |      1,010 |     10,204 |
| lib\db (Files)                                                                                                              |          2 |        726 |         84 |         91 |        901 |
| lib\db\entities                                                                                                             |          4 |      8,294 |         90 |        919 |      9,303 |
| lib\extensions                                                                                                              |          1 |         12 |          2 |          3 |         17 |
| lib\gen                                                                                                                     |          1 |        385 |         95 |        121 |        601 |
| lib\logic                                                                                                                   |          4 |        673 |        132 |        116 |        921 |
| lib\models                                                                                                                  |          2 |        127 |          0 |          8 |        135 |
| lib\routes                                                                                                                  |          1 |        124 |         25 |          7 |        156 |
| lib\theme                                                                                                                   |          2 |         66 |          8 |         12 |         86 |
| lib\ui                                                                                                                      |         39 |      2,782 |        427 |        357 |      3,566 |
| lib\ui (Files)                                                                                                              |          1 |         11 |          0 |          3 |         14 |
| lib\ui\common                                                                                                               |          8 |        441 |        103 |         66 |        610 |
| lib\ui\common (Files)                                                                                                       |          3 |        135 |          3 |         10 |        148 |
| lib\ui\common\buttons                                                                                                       |          4 |        261 |         96 |         52 |        409 |
| lib\ui\common\timers                                                                                                        |          1 |         45 |          4 |          4 |         53 |
| lib\ui\day                                                                                                                  |          3 |        356 |         17 |         25 |        398 |
| lib\ui\home                                                                                                                 |          1 |         12 |          0 |          2 |         14 |
| lib\ui\night                                                                                                                |          8 |        768 |        226 |        103 |      1,097 |
| lib\ui\night (Files)                                                                                                        |          6 |        615 |        115 |         57 |        787 |
| lib\ui\night\widgets                                                                                                        |          2 |        153 |        111 |         46 |        310 |
| lib\ui\night\widgets\buttons_for_selecting_players                                                                          |          2 |        153 |        111 |         46 |        310 |
| lib\ui\show_roles                                                                                                           |          2 |        151 |          1 |         15 |        167 |
| lib\ui\show_roles (Files)                                                                                                   |          1 |        103 |          1 |         11 |        115 |
| lib\ui\show_roles\widgets                                                                                                   |          1 |         48 |          0 |          4 |         52 |
| lib\ui\statements                                                                                                           |          7 |        518 |         37 |         62 |        617 |
| lib\ui\ui_utils                                                                                                             |          3 |         40 |          7 |         15 |         62 |
| lib\ui\ui_widget                                                                                                            |          5 |        308 |         26 |         34 |        368 |
| lib\ui\ui_widget\names_list_show                                                                                            |          5 |        308 |         26 |         34 |        368 |
| lib\ui\ui_widget\names_list_show (Files)                                                                                    |          4 |        308 |         26 |         33 |        367 |
| lib\ui\ui_widget\names_list_show\naming_widgets.dart                                                                        |          1 |          0 |          0 |          1 |          1 |
| lib\ui\widgets                                                                                                              |          1 |        177 |         10 |         32 |        219 |
| lib\utils                                                                                                                   |          1 |          4 |          0 |          2 |          6 |
| linux                                                                                                                       |          5 |         98 |         27 |         38 |        163 |
| linux (Files)                                                                                                               |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                                                               |          2 |         12 |          9 |         11 |         32 |
| macos                                                                                                                       |          6 |        446 |          5 |         16 |        467 |
| macos\Flutter                                                                                                               |          1 |          8 |          3 |          4 |         15 |
| macos\Runner                                                                                                                |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                                                        |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                                                           |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                                                |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                             |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                                     |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                                        |          6 |        226 |        155 |         74 |        455 |
| test (Files)                                                                                                                |          1 |         55 |         58 |         14 |        127 |
| test\db                                                                                                                     |          3 |         69 |         71 |         30 |        170 |
| test\db (Files)                                                                                                             |          1 |          0 |         23 |          8 |         31 |
| test\db\entities                                                                                                            |          2 |         69 |         48 |         22 |        139 |
| test\logic                                                                                                                  |          1 |          1 |          0 |          1 |          2 |
| test\scenarioes_tests                                                                                                       |          1 |        101 |         26 |         29 |        156 |
| web                                                                                                                         |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                                                     |         10 |        439 |         94 |        143 |        676 |
| windows\flutter                                                                                                             |          2 |         11 |          9 |         11 |         31 |
| windows\runner                                                                                                              |          8 |        428 |         85 |        132 |        645 |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                    | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\README.md                                                                     | Markdown   |         20 |          0 |         14 |         34 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\analysis_options.yaml                                                         | YAML       |          6 |         22 |          4 |         32 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\android\app\build.gradle                                                      | Gradle     |         51 |          5 |         12 |         68 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\android\app\src\debug\AndroidManifest.xml                                     | XML        |          3 |          4 |          1 |          8 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\android\app\src\main\AndroidManifest.xml                                      | XML        |         27 |          6 |          1 |         34 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\android\app\src\main\res\drawable-v21\launch_background.xml                   | XML        |          4 |          7 |          2 |         13 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\android\app\src\main\res\drawable\launch_background.xml                       | XML        |          4 |          7 |          2 |         13 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\android\app\src\main\res\values-night\styles.xml                              | XML        |          9 |          9 |          1 |         19 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\android\app\src\main\res\values\styles.xml                                    | XML        |          9 |          9 |          1 |         19 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\android\app\src\profile\AndroidManifest.xml                                   | XML        |          3 |          4 |          1 |          8 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\android\build.gradle                                                          | Gradle     |         27 |          0 |          5 |         32 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\android\gradle.properties                                                     | Properties |          3 |          0 |          1 |          4 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\android\gradle\wrapper\gradle-wrapper.properties                              | Properties |          5 |          0 |          1 |          6 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\android\settings.gradle                                                       | Gradle     |         16 |          0 |          5 |         21 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\cards\roles\citizen-card.svg                                           | XML        |          3 |          0 |          1 |          4 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\cards\roles\godfather-card.svg                                         | XML        |          3 |          0 |          1 |          4 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\cards\roles\kane-card.svg                                              | XML        |          3 |          0 |          1 |          4 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\cards\roles\konstantin-card.svg                                        | XML        |          3 |          0 |          1 |          4 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\cards\roles\leon-card.svg                                              | XML        |          3 |          0 |          1 |          4 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\cards\roles\matador-card.svg                                           | XML        |          3 |          0 |          1 |          4 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\cards\roles\nostradamus-card.svg                                       | XML        |          3 |          0 |          1 |          4 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\cards\roles\saul-card.svg                                              | XML        |          3 |          0 |          1 |          4 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\cards\roles\watson-card.svg                                            | XML        |          3 |          0 |          1 |          4 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\cards\roles\which-role.svg                                             | XML        |          3 |          0 |          1 |          4 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\icons\number_holder.svg                                                | XML        |          9 |          0 |          1 |         10 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\images\back_ground\title_bg.svg                                        | XML        |          9 |          0 |          1 |         10 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\images\back_ground\title_bg_2.svg                                      | XML        |          9 |          0 |          1 |         10 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\images\frames\names_frame.svg                                          | XML        |          6 |          0 |          1 |          7 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\images\nights\moon_hq.svg                                              | XML        |          9 |          0 |          1 |         10 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\ios\RunnerTests\RunnerTests.swift                                             | Swift      |          7 |          2 |          4 |         13 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\ios\Runner\AppDelegate.swift                                                  | Swift      |         12 |          0 |          2 |         14 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                   | JSON       |        122 |          0 |          1 |        123 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json                 | JSON       |         23 |          0 |          1 |         24 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                     | Markdown   |          3 |          0 |          2 |          5 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\ios\Runner\Base.lproj\LaunchScreen.storyboard                                 | XML        |         36 |          1 |          1 |         38 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\ios\Runner\Base.lproj\Main.storyboard                                         | XML        |         25 |          1 |          1 |         27 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\ios\Runner\Runner-Bridging-Header.h                                           | C++        |          1 |          0 |          1 |          2 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\constants\app_colors.dart                                                 | Dart       |         45 |          1 |          6 |         52 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\constants\info_strings.dart                                               | Dart       |         93 |          6 |         12 |        111 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\constants\metrics.dart                                                    | Dart       |          6 |          3 |          3 |         12 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\constants\my_strings.dart                                                 | Dart       |         94 |         14 |         15 |        123 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\constants\my_text_styles.dart                                             | Dart       |        110 |         17 |         19 |        146 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\constants\routes_constants.dart                                           | Dart       |          0 |          0 |          1 |          1 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\db\entities\game_status.dart                                              | Dart       |        201 |         37 |         29 |        267 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\db\entities\game_status.g.dart                                            | Dart       |      5,232 |          8 |        515 |      5,755 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\db\entities\player.dart                                                   | Dart       |        167 |         39 |         25 |        231 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\db\entities\player.g.dart                                                 | Dart       |      2,694 |          6 |        350 |      3,050 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\db\isar_service.dart                                                      | Dart       |        651 |         72 |         75 |        798 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\db\isar_service.g.dart                                                    | Dart       |         75 |         12 |         16 |        103 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\extensions\async_value_ui.dart                                            | Dart       |         12 |          2 |          3 |         17 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\gen\assets.gen.dart                                                       | Dart       |        385 |         95 |        121 |        601 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\logic\last_moves_logics.dart                                              | Dart       |         42 |          8 |         11 |         61 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\logic\logics.dart                                                         | Dart       |        287 |         93 |         56 |        436 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\logic\logics_utils.dart                                                   | Dart       |        165 |         21 |         21 |        207 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\logic\night_choices_logics.dart                                           | Dart       |        179 |         10 |         28 |        217 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\main.dart                                                                 | Dart       |         43 |          7 |          6 |         56 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\models\last_moves_dataset.dart                                            | Dart       |         13 |          0 |          2 |         15 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\models\role_datasets.dart                                                 | Dart       |        114 |          0 |          6 |        120 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\my_assets.dart                                                            | Dart       |         98 |          7 |         11 |        116 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\routes\routes.dart                                                        | Dart       |        124 |         25 |          7 |        156 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\theme\app_theme.dart                                                      | Dart       |         52 |          1 |          6 |         59 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\theme\app_theme.g.dart                                                    | Dart       |         14 |          7 |          6 |         27 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\common\buttons\button_controller.dart                                  | Dart       |         10 |          0 |          4 |         14 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\common\buttons\button_controller.g.dart                                | Dart       |        128 |         18 |         30 |        176 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\common\buttons\my_button_style.dart                                    | Dart       |         19 |          0 |          3 |         22 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\common\buttons\my_buttons.dart                                         | Dart       |        104 |         78 |         15 |        197 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\common\loading.dart                                                    | Dart       |          6 |          0 |          2 |          8 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\common\player_count_dropdown.dart                                      | Dart       |         75 |          3 |          4 |         82 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\common\timers\night_timer.dart                                         | Dart       |         45 |          4 |          4 |         53 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\common\title_widget.dart                                               | Dart       |         54 |          0 |          4 |         58 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\day\day.dart                                                           | Dart       |        147 |         11 |         16 |        174 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\day\grid_list_of_players.dart                                          | Dart       |         67 |          0 |          2 |         69 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\day\show_last_move.dart                                                | Dart       |        142 |          6 |          7 |        155 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\home\home_page.dart                                                    | Dart       |         12 |          0 |          2 |         14 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\night\control_panel.dart                                               | Dart       |         38 |          0 |          4 |         42 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\night\list_of_night_players_widget.dart                                | Dart       |         93 |          5 |          5 |        103 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\night\list_of_players.dart                                             | Dart       |          0 |         59 |          0 |         59 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\night\night_page.dart                                                  | Dart       |        133 |         21 |         16 |        170 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\night\night_role_panel.dart                                            | Dart       |        282 |         29 |         28 |        339 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\night\roles_names_list_widget.dart                                     | Dart       |         69 |          1 |          4 |         74 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\night\widgets\buttons_for_selecting_players\god_father_button.dart     | Dart       |         21 |         93 |         16 |        130 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\night\widgets\buttons_for_selecting_players\god_father_button.g.dart   | Dart       |        132 |         18 |         30 |        180 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\show_roles\show_role_page.dart                                         | Dart       |        103 |          1 |         11 |        115 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\show_roles\widgets\show_role_widget.dart                               | Dart       |         48 |          0 |          4 |         52 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\statements\enquiry_results_widget.dart                                 | Dart       |         45 |          8 |          7 |         60 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\statements\nights_results.dart                                         | Dart       |        201 |         12 |         19 |        232 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\statements\overlay_system.dart                                         | Dart       |         65 |          9 |          5 |         79 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\statements\result_row_widget.dart                                      | Dart       |         61 |          4 |          7 |         72 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\statements\statement_overlay_screen.dart                               | Dart       |         92 |          4 |         16 |        112 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\statements\statements_overlay_controller.dart                          | Dart       |         12 |          0 |          4 |         16 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\statements\torn_paper_statement.dart                                   | Dart       |         42 |          0 |          4 |         46 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\ui_utils\calculate_text_layout_size.dart                               | Dart       |         15 |          0 |          5 |         20 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\ui_utils\get_criteria_for_night_role_panel.dart                        | Dart       |         10 |          0 |          4 |         14 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\ui_utils\get_criteria_for_night_role_panel.g.dart                      | Dart       |         15 |          7 |          6 |         28 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\ui_widget\names_list_show\names_list_funcs.dart                        | Dart       |         31 |          5 |          5 |         41 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\ui_widget\names_list_show\naming_page.dart                             | Dart       |        104 |         12 |         14 |        130 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\ui_widget\names_list_show\naming_widgets.dart\player_count_widget.dart | Dart       |          0 |          0 |          1 |          1 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\ui_widget\names_list_show\number_holder.dart                           | Dart       |         48 |          2 |          4 |         54 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\ui_widget\names_list_show\player_naming_frame_widget.dart              | Dart       |        125 |          7 |         10 |        142 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\widgets\player_name_widget.dart                                        | Dart       |        177 |         10 |         32 |        219 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\ui\x_page.dart                                                            | Dart       |         11 |          0 |          3 |         14 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\lib\utils\dev_log.dart                                                        | Dart       |          4 |          0 |          2 |          6 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\linux\flutter\generated_plugin_registrant.cc                                  | C++        |          7 |          4 |          5 |         16 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\linux\flutter\generated_plugin_registrant.h                                   | C++        |          5 |          5 |          6 |         16 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\linux\main.cc                                                                 | C++        |          5 |          0 |          2 |          7 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\linux\my_application.cc                                                       | C++        |         74 |         11 |         20 |        105 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\linux\my_application.h                                                        | C++        |          7 |          7 |          5 |         19 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\macos\Flutter\GeneratedPluginRegistrant.swift                                 | Swift      |          8 |          3 |          4 |         15 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\macos\RunnerTests\RunnerTests.swift                                           | Swift      |          7 |          2 |          4 |         13 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\macos\Runner\AppDelegate.swift                                                | Swift      |          8 |          0 |          2 |         10 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                 | JSON       |         68 |          0 |          1 |         69 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\macos\Runner\Base.lproj\MainMenu.xib                                          | XML        |        343 |          0 |          1 |        344 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\macos\Runner\MainFlutterWindow.swift                                          | Swift      |         12 |          0 |          4 |         16 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\pubspec.yaml                                                                  | YAML       |         63 |         57 |         14 |        134 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\test\db\entities\game_status_test.dart                                        | Dart       |         60 |         48 |         18 |        126 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\test\db\entities\x_test.dart                                                  | Dart       |          9 |          0 |          4 |         13 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\test\db\get_and_update_day_number_test.dart                                   | Dart       |          0 |         23 |          8 |         31 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\test\logic\logics_utils_test.dart                                             | Dart       |          1 |          0 |          1 |          2 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\test\logics_test.dart                                                         | Dart       |         55 |         58 |         14 |        127 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\test\scenarioes_tests\scenario_01_test.dart                                   | Dart       |        101 |         26 |         29 |        156 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\web\index.html                                                                | HTML       |         38 |         16 |          6 |         60 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\web\manifest.json                                                             | JSON       |         35 |          0 |          1 |         36 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\windows\flutter\generated_plugin_registrant.cc                                | C++        |          6 |          4 |          5 |         15 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\windows\flutter\generated_plugin_registrant.h                                 | C++        |          5 |          5 |          6 |         16 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\windows\runner\flutter_window.cpp                                             | C++        |         49 |          7 |         16 |         72 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\windows\runner\flutter_window.h                                               | C++        |         20 |          5 |          9 |         34 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\windows\runner\main.cpp                                                       | C++        |         30 |          4 |         10 |         44 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\windows\runner\resource.h                                                     | C++        |          9 |          6 |          2 |         17 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\windows\runner\utils.cpp                                                      | C++        |         54 |          2 |         10 |         66 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\windows\runner\utils.h                                                        | C++        |          8 |          6 |          6 |         20 |
| e:\dart_flutter\my_apps\auto_mafia\auto_mafia\windows\runner\win32_window.cpp                                               | C++        |        210 |         24 |         55 |        289 |
